2506	pers.2833	22043242	23373507	320	3.0659
2581	pers.2978	22043242	23374027	321	3.0671
2598	pers.2846	22043242	23344582	312	3.0017
2606	pers.2719	22043242	23370857	318	3.06
2684	pers.2735	22047434	23369645	312	3.0473
2719	pers.2800	22043242	23370857	318	3.06
2755	pers.2869	22043242	23362462	315	3.0414
2758	pers.2902	22043242	23374027	321	3.0671
2825	pers.2836	22043242	23373507	320	3.0659
2827	pers.2953	22043242	23373507	320	3.0659
2833	pers.2853	22043242	23373507	320	3.0659
2929	pers.2978	22043242	23374027	321	3.0671
2001	pers.2178	22043242	23412204	332	3.1517
2001	pers.2262	22043242	23412204	332	3.1517
2006	pers.2834	22043242	23445250	340	3.2248
2025	pers.2246	22043242	23412204	332	3.1517
2026	pers.2165	22043242	23395573	326	3.1148
2026	pers.2553	22043242	23416507	333	3.1612
2027	pers.2518	22043242	23410155	331	3.1471
2028	pers.2997	22043242	23395922	327	3.1156
2040	pers.2051	22043242	23416507	333	3.1612
2043	pers.2660	22043242	23395573	326	3.1148
2044	pers.2775	22043242	23402886	328	3.131
2049	pers.2286	22043242	23412204	332	3.1517
2049	pers.2688	22043242	23412204	332	3.1517
2050	pers.2178	22043242	23412204	332	3.1517
2050	pers.2262	22043242	23412204	332	3.1517
2051	pers.2142	22043242	23416507	333	3.1612
2051	pers.2805	22043242	23416507	333	3.1612
2066	pers.2129	22043242	23402886	328	3.131
2066	pers.2891	22043242	23445250	340	3.2248
2073	pers.2210	22043242	23408897	329	3.1443
2073	pers.2596	22048447	23408897	322	3.1318
2078	pers.2430	22043242	23444181	338	3.2224
2078	pers.2525	22043242	23442004	337	3.2176
2088	pers.2540	22043242	23416507	333	3.1612
2098	pers.2989	22043242	23416507	333	3.1612
2105	pers.2566	22043242	23444181	338	3.2224
2129	pers.2186	22043242	23402886	328	3.131
2144	pers.2430	22043242	23444181	338	3.2224
2144	pers.2525	22043242	23442004	337	3.2176
2146	pers.2220	22043242	23394125	325	3.1116
2146	pers.2577	22043242	23394125	325	3.1116
2148	pers.2322	22043242	23416600	334	3.1614
2151	pers.2235	22043242	23412204	332	3.1517
2151	pers.2367	22043242	23412204	332	3.1517
2154	pers.2833	22043242	23394125	325	3.1116
2157	pers.2665	22043242	23456863	343	3.2504
2157	pers.2970	22044910	23456863	339	3.2464
2158	pers.2430	22130014	23444181	291	3.0155
2165	pers.2309	22043242	23395573	326	3.1148
2165	pers.2355	22043242	23394125	325	3.1116
2176	pers.2459	22043242	23412204	332	3.1517
2178	pers.2632	22043242	23412204	332	3.1517
2180	pers.2722	22043242	23445230	339	3.2247
2201	pers.2553	22043242	23416507	333	3.1612
2217	pers.2293	22043242	23395573	326	3.1148
2220	pers.2334	22043242	23395573	326	3.1148
2220	pers.2675	22043242	23395573	326	3.1148
2226	pers.2431	22043242	23416507	333	3.1612
2228	pers.2671	22043242	23402886	328	3.131
2234	pers.2899	22043242	23395573	326	3.1148
2235	pers.2367	22043242	23423302	335	3.1762
2235	pers.2931	22043242	23412204	332	3.1517
2235	pers.2966	22043242	23412204	332	3.1517
2262	pers.2632	22043242	23412204	332	3.1517
2274	pers.2359	22043242	23452361	342	3.2405
2293	pers.2498	22043242	23395573	326	3.1148
2303	pers.2518	22043242	23408950	330	3.1445
2313	pers.2630	22043242	23416600	334	3.1614
2322	pers.2586	22043242	23374027	321	3.0671
2334	pers.2577	22043242	23395573	326	3.1148
2352	pers.2749	22043242	23442004	337	3.2176
2364	pers.2373	22043242	23416507	333	3.1612
2364	pers.2755	22043242	23416507	333	3.1612
2366	pers.2403	22043242	23374027	321	3.0671
2366	pers.2497	22043242	23416507	333	3.1612
2367	pers.2931	22043242	23412204	332	3.1517
2367	pers.2966	22043242	23412204	332	3.1517
2373	pers.2482	22043242	23416507	333	3.1612
2430	pers.2525	22043242	23442004	337	3.2176
2430	pers.2898	22043242	23444181	338	3.2224
2431	pers.2520	22043242	23416507	333	3.1612
2462	pers.2532	22043242	23416507	333	3.1612
2480	pers.2736	22097171	23412204	298	3.023
2482	pers.2755	22043242	23416507	333	3.1612
2525	pers.2898	22043242	23442004	337	3.2176
2566	pers.2657	22043242	23444181	338	3.2224
2569	pers.2831	22043242	23394125	325	3.1116
2577	pers.2675	22043242	23395573	326	3.1148
2609	pers.2989	22043242	23442004	337	3.2176
2636	pers.2732	22043242	23410155	331	3.1471
2658	pers.2665	22043242	23456863	343	3.2504
2658	pers.2970	22044910	23456863	339	3.2464
2665	pers.2806	22043242	23456863	343	3.2504
2667	pers.2917	22043242	23451047	341	3.2376
2746	pers.2751	22043242	23394125	325	3.1116
2749	pers.2913	22043242	23442004	337	3.2176
2803	pers.2823	22043242	23442004	337	3.2176
2806	pers.2970	22044910	23456863	339	3.2464
2823	pers.3000	22043242	23442004	337	3.2176
2027	pers.2304	22043242	23526557	360	3.404
2027	pers.2306	22043242	23467107	346	3.273
2027	pers.2402	22043242	23528127	361	3.4074
2034	pers.2506	22043242	23520993	357	3.3917
2034	pers.2905	22043242	23520993	357	3.3917
2040	pers.2805	22043242	23506899	353	3.3607
2047	pers.2304	22201086	23526557	280	3.0283
2047	pers.2402	22201086	23526557	280	3.0283
2055	pers.2226	22043242	23529805	362	3.4111
2055	pers.2413	22043242	23529805	362	3.4111
2055	pers.2625	22043242	23468281	347	3.2756
2056	pers.2291	22043242	23522799	358	3.3957
2056	pers.2945	22043242	23522799	358	3.3957
2076	pers.2661	22043242	23467107	346	3.273
